nom_centre      codi_centre     places_ofertades        assignacions_en_primera         assignacions_altres     naturalesa
Abat Oliba-Loreto	8004559	74	60	0	Privat
Abat Oliba-Spínola	8010641	50	37	2	Privat
Acis-Artur Martorell	8006945	25	20	0	Privat
Adela de Trenquelleón	8011199	50	32	12	Privat
Alegre	8018340	25	24	0	Privat
Alfageme	8003701	25	17	1	Privat
Aloma	8014358	25	25	0	Privat
Alpes	8018303	25	16	0	Privat
Amor de Déu	8025186	75	49	10	Privat
Amor de Dios	8008531	50	38	1	Privat
Anna Ravell	8003361	50	18	5	Privat
Arrels	8007603	50	31	8	Privat
Arrels-Blanquerna	8001133	25	20	3	Privat
Arrels-Esperança	8000921	100	100	0	Privat
Asunción de Nuestra Señora	8011606	50	14	5	Privat
Augusta	8057084	25	16	0	Privat
Avantis	8063485	150	111	2	Privat
Azorín	8018339	25	21	1	Privat
Badalonès	8000761	75	47	7	Privat
Balaguer	8018777	25	22	1	Privat
Betània-Patmos	8004511	100	91	3	Privat
Betúlia	8000967	25	20	5	Privat
Boix	8001029	25	8	0	Privat
Bon Pastor	8008401	50	27	1	Privat
Canigó	8003993	100	81	3	Privat
Canigó	8018406	25	20	0	Privat
Casal dels Àngels	8018352	75	51	2	Privat
Casp-Sagrat Cor de Jesús	8005199	50	50	0	Privat
Castro de la Peña	8013706	25	17	1	Privat
Centre Educatiu Projecte	8037139	25	19	1	Privat
Claret	8010501	100	77	2	Privat
Closa	8014097	50	25	7	Privat
Cor de Maria-Sabastida	8008361	50	42	8	Privat
Cultura	8018583	25	22	0	Privat
Cultural	8000918	47	43	1	Privat
Cultural	8000864	50	38	0	Privat
Cultural Fluvià	8001030	25	18	2	Privat
Decroly	8004316	25	14	1	Privat
Dominiques de l'Ensenyament de Barcelona	8005436	75	72	0	Privat
El Clot	8009260	75	73	2	Privat
El Petit Santa Maria	8051719	25	22	0	Privat
Escola 9 Graons	8075608	50	50	0	Públic
Escola Àgora	8002770	25	25	0	Públic
Escola Aiguamarina	8002484	22	13	9	Públic
Escola Alexandre Galí	8037814	40	23	8	Públic
Escola Àngels Garriga	8043784	25	23	2	Públic
Escola Anglesola	8075633	50	49	1	Públic
Escola Antoni Balmanya	8043103	50	43	5	Públic
Escola Antoni Botey	8001509	44	44	0	Públic
Escola Antoni Brusi	8033501	50	40	3	Públic
Escola Antoni Gaudí	8035519	44	27	6	Públic
Escola Arc Iris	8009776	25	25	0	Públic
Escola Artur Martorell	8041571	25	25	0	Públic
Escola Auditori	8076078	50	50	0	Públic
Escola Auró	8052670	50	50	1	Públic
Escola Ausiàs March	8034862	25	17	5	Públic
Escola Ausiàs March	8028035	25	22	3	Públic
Escola Bac de Roda	8002873	50	42	2	Públic
Escola Badalona Port	8068331	25	16	6	Públic
Escola Baixeras	8001595	25	10	8	Públic
Escola Baldiri Reixac	8002174	25	23	2	Públic
Escola Baldiri Reixac	8037887	22	22	0	Públic
Escola Baloo	8043747	25	25	0	Públic
Escola Banús	8033341	25	25	0	Públic
Escola Barcelona	8013408	50	49	1	Públic
Escola Bàrkeno	8003695	22	22	0	Públic
Escola Baró de Viver	8002411	22	11	1	Públic
Escola Barrufet	8043796	50	50	0	Públic
Escola Beethoven	8027973	22	19	3	Públic
Escola Bernat Desclot	8034837	25	22	3	Públic
Escola Bernat Metge	8019149	25	17	2	Públic
Escola Bogatell	8035431	50	40	6	Públic
Escola Brasil	8002915	25	25	0	Públic
Escola Bufalà	8061348	49	37	2	Públic
Escola Busquets i Punset	8019216	50	45	5	Públic
Escola Cal Maiol	8002022	25	25	0	Públic
Escola Calderón de la Barca	8002277	50	50	0	Públic
Escola Can Clos	8001674	22	10	0	Públic
Escola Can Fabra	8070234	50	50	0	Públic
Escola Carlit	8043814	25	24	1	Públic
Escola Cartagena	8075611	50	50	0	Públic
Escola Casas	8009171	25	18	2	Públic
Escola Cascavell	8002991	22	15	2	Públic
Escola Castella	8001832	25	25	0	Públic
Escola Catalònia	8035441	50	44	4	Públic
Escola Catalunya	8034989	44	35	8	Públic
Escola Cavall Bernat	8046293	24	24	0	Públic
Escola Cervantes	8001789	25	21	1	Públic
Escola Charlie Rivel	8036378	22	22	0	Públic
Escola Ciutat Comtal	8002320	20	11	0	Públic
Escola Collaso i Gil	8001819	66	49	17	Públic
Escola Concepción Arenal	8002587	22	22	0	Públic
Escola Congrés-Indians	8066516	50	47	3	Públic
Escola De Bosc de Montjuïc	8003491	25	23	2	Públic
