nom_centre      codi_centre     places_ofertades        assignacions_en_primera         assignacions_altres     naturalesa
Abat Oliba-Loreto	8004559	75	62	1	Privat
Abat Oliba-Spínola	8010641	50	39	2	Privat
Acis-Artur Martorell	8006945	24	20	1	Privat
Adela de Trenquelleón	8011199	50	50	0	Privat
Alegre	8018340	25	25	0	Privat
Alfageme	8003701	25	15	1	Privat
Aloma	8014358	25	25	0	Privat
Alpes	8018303	25	10	1	Privat
Amor de Déu	8025186	75	72	3	Privat
Amor de Dios	8008531	75	40	2	Privat
Anna Ravell	8003361	50	29	10	Privat
Arrels	8007603	50	40	5	Privat
Arrels-Blanquerna	8001133	25	22	2	Privat
Arrels-Esperança	8000921	100	99	1	Privat
Asunción de Nuestra Señora	8011606	50	35	11	Privat
Augusta	8057084	25	15	2	Privat
Avantis	8063485	175	140	0	Privat
Azorín	8018339	25	25	0	Privat
Badalonès	8000761	75	68	0	Privat
Balaguer	8018777	25	25	0	Privat
Betània-Patmos	8004511	100	87	6	Privat
Betúlia	8000967	25	13	0	Privat
Boix	8001029	25	20	0	Privat
Bon Pastor	8008401	50	40	0	Privat
Canigó	8018406	25	25	0	Privat
Canigó	8003993	100	82	0	Privat
Carles Riba	8063497	25	18	5	Privat
Casal dels Àngels	8018352	75	65	3	Privat
Casp-Sagrat Cor de Jesús	8005199	50	50	0	Privat
Castro de la Peña	8013706	25	11	0	Privat
Centre Educatiu Projecte	8037139	25	25	0	Privat
Claret	8010501	100	84	9	Privat
Closa	8014097	50	39	7	Privat
Cor de Maria-Sabastida	8008361	50	35	7	Privat
Cultura	8018583	25	18	7	Privat
Cultural	8000918	47	43	0	Privat
Cultural	8000864	50	37	3	Privat
Cultural Fluvià	8001030	25	22	1	Privat
Decroly	8004316	25	14	2	Privat
Dominiques de l'Ensenyament de Barcelona	8005436	75	53	3	Privat
El Clot	8009260	74	74	0	Privat
El Petit Santa Maria	8051719	25	25	0	Privat
Escola 9 Graons	8075608	52	33	19	Públic
Escola Àgora	8002770	25	25	0	Públic
Escola Aiguamarina	8002484	22	19	3	Públic
Escola Alexandre Galí	8037814	44	20	11	Públic
Escola Alexandre Galí	8000414	25	22	2	Públic
Escola Àngels Garriga	8043784	25	24	1	Públic
Escola Anglesola	8075633	40	27	13	Públic
Escola Antoni Balmanya	8043103	50	41	9	Públic
Escola Antoni Botey	8001509	44	44	0	Públic
Escola Antoni Brusi	8033501	77	73	4	Públic
Escola Antoni Gaudí	8035519	44	23	3	Públic
Escola Arc Iris	8009776	25	25	0	Públic
Escola Artur Martorell	8041571	50	41	9	Públic
Escola Auró	8052670	50	49	1	Públic
Escola Ausiàs March	8034862	25	13	12	Públic
Escola Ausiàs March	8028035	25	25	0	Públic
Escola Ausiàs March	8002678	12	10	2	Públic
Escola Bac de Roda	8002873	50	40	6	Públic
Escola Badalona Port	8068331	25	23	0	Públic
Escola Baixeras	8001595	22	20	2	Públic
Escola Baldiri Reixac	8037887	22	22	0	Públic
Escola Baldiri Reixac	8002174	25	25	0	Públic
Escola Baldomer Solà	8033857	22	22	0	Públic
Escola Baloo	8043747	24	24	0	Públic
Escola Banús	8033341	25	26	0	Públic
Escola Barcelona	8013408	50	44	6	Públic
Escola Bàrkeno	8003695	25	25	0	Públic
Escola Baró de Viver	8002411	22	10	0	Públic
Escola Barrufet	8043796	50	49	1	Públic
Escola Beethoven	8027973	22	21	0	Públic
Escola Bernat Desclot	8034837	25	25	0	Públic
Escola Bernat Metge	8019149	25	25	0	Públic
Escola Bogatell	8035431	52	36	16	Públic
Escola Brasil	8002915	25	23	2	Públic
Escola Bufalà	8061348	50	41	1	Públic
Escola Busquets i Punset	8019216	50	49	0	Públic
Escola Cal Maiol	8002022	25	25	0	Públic
Escola Calderón de la Barca	8002277	50	47	3	Públic
Escola Can Clos	8001674	22	7	0	Públic
Escola Can Fabra	8070234	49	49	0	Públic
Escola Carlit	8043814	25	26	0	Públic
Escola Cartagena	8075611	75	44	31	Públic
Escola Casas	8009171	25	25	0	Públic
Escola Cascavell	8002991	22	18	4	Públic
Escola Castella	8001832	22	22	0	Públic
Escola Catalònia	8035441	50	38	10	Públic
Escola Catalunya	8034989	44	21	23	Públic
Escola Cavall Bernat	8046293	22	22	0	Públic
Escola Cervantes	8001789	22	22	0	Públic
Escola Charlie Rivel	8036378	22	21	2	Públic
Escola Ciutat Comtal	8002320	22	12	2	Públic
Escola Collaso i Gil	8001819	44	43	1	Públic
Escola Concepción Arenal	8002587	22	17	0	Públic
Escola Congrés-Indians	8066516	50	50	0	Públic
Escola Coves d'en Cimany	8013081	22	12	3	Públic
Escola De Bosc de Montjuïc	8003491	25	16	9	Públic
Escola de la Concepció	8001807	26	23	3	Públic
Escola de les Aigües	8039835	50	29	13	Públic
Escola del Mar	8010146	25	25	0	Públic
Escola dels Encants	8066462	52	52	0	Públic
Escola Diputació	8001923	50	50	0	Públic
Escola Doctor Ferran i Clua	8039434	50	36	14	Públic
Escola Dolors Monserdà-Santapau	8001716	50	49	1	Públic
Escola Dovella	8044201	25	25	0	Públic
Escola Drassanes	8001856	44	31	12	Públic
Escola Duran i Bas	8002681	50	50	0	Públic
Escola Eduard Marquina	8002599	22	13	1	Públic
Escola El Carmel	8002745	44	25	2	Públic
Escola El Polvorí	8001650	22	5	1	Públic
Escola El Sagrer	8045057	50	50	0	Públic
Escola El Turó	8002344	22	21	1	Públic
Escola Elisenda de Montcada	8002459	44	25	7	Públic
Escola Els Horts	8039483	25	20	3	Públic
Escola Els Llorers	8001911	50	46	4	Públic
Escola Els Pins	8041911	25	21	4	Públic
Escola Els Porxos	8002630	25	16	3	Públic
Escola Els Xiprers	8042329	24	24	0	Públic
Escola Emili Juncadella	8002290	25	16	9	Públic
Escola Enric Granados	8002952	22	10	0	Públic
Escola Entença	8075207	52	52	0	Públic
Escola Ernest Lluch	8067016	22	19	3	Públic
Escola Estel-Guinardó	8046281	25	25	0	Públic
Escola Eulàlia Bota	8060873	50	50	0	Públic
Escola Feliu i Vegués	8000402	50	35	11	Públic
Escola Ferran de Sagarra	8027456	50	48	2	Públic
Escola Ferran Sunyer	8052669	50	49	1	Públic
Escola Ferrer i Guàrdia	8032634	44	44	0	Públic
Escola Fluvià	8066531	52	50	2	Públic
Escola Folch i Torres	8037899	25	24	0	Públic
Escola Font d'en Fargas	8002721	50	39	11	Públic
Escola Fort Pienc	8052657	50	50	0	Públic
Escola Francesc Macià	8002009	22	13	9	Públic
Escola Fray Luis de León	8032300	50	47	3	Públic
Escola Frederic Mistral	8019241	50	32	1	Públic
Escola Fructuós Gelabert	8063072	50	50	0	Públic
Escola Gayarre	8002071	25	12	13	Públic
Escola Gitanjali	8041581	25	21	4	Públic
Escola Gornal	8047674	22	9	0	Públic
Escola Heura	8043966	24	24	0	Públic
Escola Ignasi Iglésias	8010912	50	26	17	Públic
Escola Ítaca	8044508	22	21	1	Públic
Escola Ítaca	8043255	50	42	8	Públic
Escola Jaume I	8002061	75	67	8	Públic
Escola Jaume Salvatella	8027985	50	41	1	Públic
Escola Joan Coret	8036135	50	51	0	Públic
Escola Joan Llongueras	8036342	24	24	0	Públic
Escola Joan Maragall	8034266	25	15	9	Públic
Escola Joan Miró	8042305	50	50	0	Públic
Escola Joan Miró	8035404	22	22	0	Públic
Escola Joan Salvat i Papasseit	8040059	50	37	5	Públic
Escola Joaquim Ruyra	8019265	44	40	4	Públic
Escola Joaquim Ruyra	8002927	50	37	5	Públic
Escola Josep Boada	8035416	44	27	4	Públic
Escola Josep Carner	8041167	50	50	0	Públic
Escola Josep Janés	8038004	25	19	5	Públic
Escola Josep Maria de Sagarra	8002216	25	19	4	Públic
Escola Josep Maria Folch i Torres	8051471	44	29	5	Públic
Escola Josep Maria Jujol	8042780	50	45	5	Públic
Escola Jungfrau	8041568	50	50	0	Públic
Escola L'Arc de Sant Martí	8002393	22	7	2	Públic
Escola L'Arenal de Llevant	8058416	52	52	0	Públic
Escola L'Estel	8043474	25	24	1	Públic
Escola l'Univers	8066504	50	50	0	Públic
Escola La Caixa	8041751	25	25	0	Públic
Escola La Carpa	8035945	75	52	7	Públic
Escola La Farigola de Vallcarca	8002198	25	25	0	Públic
Escola La Farigola del Clot	8035428	50	41	9	Públic
Escola La Flor de Maig	8075645	50	48	2	Públic
Escola La Llacuna del Poblenou	8064179	52	52	0	Públic
Escola La Maquinista	8067764	50	50	0	Públic
Escola La Mar Bella	8002563	52	25	27	Públic
Escola La Marina	8019277	50	41	7	Públic
Escola La Muntanyeta	8033523	25	24	1	Públic
Escola La Palmera	8039495	50	50	0	Públic
Escola La Pau	8002575	22	9	2	Públic
Escola La Sagrera	8074641	75	38	37	Públic
Escola La Sedeta	8039525	25	13	12	Públic
Escola Lavínia	8043841	25	25	0	Públic
Escola Les Acàcies	8002629	52	52	0	Públic
Escola Les Ciències	8068343	25	8	1	Públic
Escola Les Corts	8037802	50	49	1	Públic
Escola Les Palmeres	8027870	50	44	2	Públic
Escola Llibertat	8034953	25	23	1	Públic
Escola Llorens i Artigas	8035854	50	34	7	Públic
Escola Lluís Millet	8027936	25	22	0	Públic
Escola Lluís Vives	8002010	25	21	4	Públic
Escola Lola Anglada	8000384	50	51	0	Públic
Escola Lola Anglada	8036366	22	22	0	Públic
Escola Mallorca	8001947	50	44	6	Públic
