nom_centre      codi_centre     places_ofertades        assignacions_en_primera         assignacions_altres     naturalesa
Abat Oliba-Loreto	8004559	74	60	6	Privat
Abat Oliba-Spínola	8010641	50	39	4	Privat
Acis-Artur Martorell	8006945	25	20	3	Privat
Adela de Trenquelleón	8011199	50	43	0	Privat
Alegre	8018340	25	25	0	Privat
Alfageme	8003701	25	20	1	Privat
Aloma	8014358	25	22	3	Privat
Alpes	8018303	25	20	3	Privat
Amor de Déu	8025186	75	75	0	Privat
Amor de Dios	8008531	50	40	2	Privat
Anna Ravell	8003361	50	18	2	Privat
Arrels	8007603	50	34	8	Privat
Arrels-Blanquerna	8001133	25	25	0	Privat
Arrels-Esperança	8000921	100	92	3	Privat
Asunción de Nuestra Señora	8011606	50	29	0	Privat
Augusta	8057084	25	23	0	Privat
Avantis	8063485	150	123	10	Privat
Azorín	8018339	25	24	1	Privat
Badalonès	8000761	75	75	0	Privat
Balaguer	8018777	25	25	0	Privat
Betània-Patmos	8004511	100	90	5	Privat
Betúlia	8000967	25	20	3	Privat
Boix	8001029	25	14	0	Privat
Bon Pastor	8008401	50	28	1	Privat
Canigó	8003993	100	85	1	Privat
Canigó	8018406	25	22	4	Privat
Carles Riba	8063497	25	18	7	Privat
Casal dels Àngels	8018352	75	53	13	Privat
Casp-Sagrat Cor de Jesús	8005199	50	50	0	Privat
Castro de la Peña	8013706	25	16	3	Privat
Centre Educatiu Projecte	8037139	25	25	0	Privat
Claret	8010501	100	84	5	Privat
Closa	8014097	50	40	9	Privat
Cor de Maria-Sabastida	8008361	50	24	12	Privat
Cultura	8018583	25	20	3	Privat
Cultural	8000918	47	47	0	Privat
Cultural	8000864	50	50	0	Privat
Cultural Fluvià	8001030	25	25	0	Privat
Decroly	8004316	25	15	5	Privat
Dominiques de l'Ensenyament de Barcelona	8005436	75	57	2	Privat
El Clot	8009260	75	74	1	Privat
El Petit Santa Maria	8051719	24	24	0	Privat
Escola 9 Graons	8075608	52	52	0	Públic
Escola Àgora	8002770	25	25	0	Públic
Escola Aiguamarina	8002484	22	22	0	Públic
Escola Alexandre Galí	8037814	44	33	6	Públic
Escola Alexandre Galí	8000414	25	19	2	Públic
Escola Àngels Garriga	8043784	25	23	2	Públic
Escola Anglesola	8075633	44	40	4	Públic
Escola Antoni Balmanya	8043103	49	37	12	Públic
Escola Antoni Botey	8001509	44	44	0	Públic
Escola Antoni Brusi	8033501	50	50	0	Públic
Escola Antoni Gaudí	8035519	44	30	8	Públic
Escola Arc Iris	8009776	25	25	0	Públic
Escola Artur Martorell	8041571	25	25	0	Públic
Escola Auditori	8076078	50	27	18	Públic
Escola Auró	8052670	52	52	0	Públic
Escola Ausiàs March	8034862	25	22	3	Públic
Escola Ausiàs March	8002678	6	6	0	Públic
Escola Ausiàs March	8028035	25	15	2	Públic
Escola Bac de Roda	8002873	50	47	4	Públic
Escola Badalona Port	8068331	25	25	0	Públic
Escola Baixeras	8001595	22	17	5	Públic
Escola Baldiri Reixac	8037887	22	22	0	Públic
Escola Baldiri Reixac	8002174	25	25	0	Públic
Escola Baldomer Solà	8033857	22	21	0	Públic
Escola Baloo	8043747	25	25	0	Públic
Escola Banús	8033341	24	24	0	Públic
Escola Barcelona	8013408	50	45	5	Públic
Escola Bàrkeno	8003695	25	25	0	Públic
Escola Baró de Viver	8002411	22	12	1	Públic
Escola Barrufet	8043796	49	49	0	Públic
Escola Beethoven	8027973	22	16	1	Públic
Escola Bernat Desclot	8034837	25	24	1	Públic
Escola Bernat Metge	8019149	25	24	1	Públic
Escola Bogatell	8035431	50	40	10	Públic
Escola Brasil	8002915	25	25	0	Públic
Escola Bufalà	8061348	50	36	8	Públic
Escola Busquets i Punset	8019216	50	42	8	Públic
Escola Cal Maiol	8002022	25	25	0	Públic
Escola Calderón de la Barca	8002277	50	49	0	Públic
Escola Can Clos	8001674	22	8	0	Públic
Escola Can Fabra	8070234	50	51	0	Públic
