nom_centre      codi_centre     places_ofertades        assignacions_en_primera         assignacions_altres     naturalesa
Abat Oliba-Loreto	8004559	74	60	1	Privat
Abat Oliba-Spínola	8010641	50	39	4	Privat
Acis-Artur Martorell	8006945	25	24	1	Privat
Adela de Trenquelleón	8011199	50	36	0	Privat
Alegre	8018340	25	25	0	Privat
Alfageme	8003701	25	19	1	Privat
Aloma	8014358	25	25	0	Privat
Alpes	8018303	25	24	1	Privat
Amor de Déu	8025186	75	68	7	Privat
Amor de Dios	8008531	49	41	1	Privat
Anna Ravell	8003361	50	18	5	Privat
Arrels	8007603	50	41	3	Privat
Arrels-Blanquerna	8001133	25	22	0	Privat
Arrels-Esperança	8000921	100	81	1	Privat
Asunción de Nuestra Señora	8011606	50	30	3	Privat
Augusta	8057084	25	22	2	Privat
Avantis	8063485	150	133	1	Privat
Azorín	8018339	25	25	0	Privat
Badalonès	8000761	75	63	1	Privat
Balaguer	8018777	25	25	0	Privat
Betània-Patmos	8004511	100	100	0	Privat
Betúlia	8000967	25	25	0	Privat
Boix	8001029	25	11	0	Privat
Bon Pastor	8008401	50	21	1	Privat
Canigó	8003993	100	82	0	Privat
Canigó	8018406	25	25	0	Privat
Carles Riba	8063497	25	20	0	Privat
Casal dels Àngels	8018352	75	74	0	Privat
Casp-Sagrat Cor de Jesús	8005199	50	42	1	Privat
Castro de la Peña	8013706	25	17	3	Privat
Centre Educatiu Projecte	8037139	25	25	0	Privat
Claret	8010501	100	95	5	Privat
Closa	8014097	50	29	2	Privat
Cor de Maria-Sabastida	8008361	50	41	7	Privat
Cultura	8018583	25	17	1	Privat
Cultural	8000918	47	38	0	Privat
Cultural	8000864	50	40	2	Privat
Cultural Fluvià	8001030	25	16	2	Privat
Decroly	8004316	25	15	0	Privat
Dominiques de l'Ensenyament de Barcelona	8005436	75	49	7	Privat
El Clot	8009260	75	73	1	Privat
El Petit Santa Maria	8051719	25	17	0	Privat
Escola 9 Graons	8075608	50	50	0	Públic
Escola Àgora	8002770	25	25	0	Públic
Escola Aiguamarina	8002484	22	20	2	Públic
Escola Alexandre Galí	8037814	22	20	2	Públic
Escola Alexandre Galí	8000414	50	32	3	Públic
Escola Àngels Garriga	8043784	25	25	0	Públic
Escola Anglesola	8075633	44	44	0	Públic
Escola Antoni Balmanya	8043103	50	50	0	Públic
Escola Antoni Botey	8001509	44	44	0	Públic
Escola Antoni Brusi	8033501	50	50	0	Públic
Escola Antoni Gaudí	8035519	44	27	10	Públic
Escola Arc Iris	8009776	25	25	0	Públic
Escola Artur Martorell	8041571	25	25	0	Públic
Escola Auditori	8076078	50	46	4	Públic
Escola Auró	8052670	50	48	2	Públic
Escola Ausiàs March	8002678	6	6	0	Públic
Escola Ausiàs March	8028035	25	16	3	Públic
Escola Ausiàs March	8034862	25	21	2	Públic
Escola Bac de Roda	8002873	50	46	4	Públic
Escola Badalona Port	8068331	25	15	8	Públic
Escola Baixeras	8001595	22	17	3	Públic
