nom_centre      codi_centre     places_ofertades        assignacions_en_primera         assignacions_altres     naturalesa
Abat Oliba-Loreto	8004559	75	62	9	Privat
Abat Oliba-Spínola	8010641	50	43	2	Privat
Acis-Artur Martorell	8006945	20	12	2	Privat
Adela de Trenquelleón	8011199	44	34	1	Privat
Alegre	8018340	25	21	3	Privat
Alfageme	8003701	20	13	2	Privat
Aloma	8014358	21	18	2	Privat
Alpes	8018303	20	9	8	Privat
Amor de Déu	8025186	60	43	5	Privat
Amor de Dios	8008531	40	32	2	Privat
Anna Ravell	8003361	19	9	9	Privat
Arrels	8007603	40	19	6	Privat
Arrels-Blanquerna	8001133	23	12	4	Privat
Arrels-Esperança	8000921	92	72	0	Privat
Asunción de Nuestra Señora	8011606	40	17	1	Privat
Augusta	8057084	23	11	1	Privat
Avantis	8063485	120	107	2	Privat
Azorín	8018339	25	18	6	Privat
Badalonès	8000761	66	59	4	Privat
Balaguer	8018777	25	24	0	Privat
Betània-Patmos	8004511	100	88	4	Privat
Betúlia	8000967	22	15	0	Privat
Bon Pastor	8008401	40	29	2	Privat
Canigó	8018406	25	23	0	Privat
Canigó	8003993	92	89	0	Privat
Casal dels Àngels	8018352	60	41	7	Privat
Casp-Sagrat Cor de Jesús	8005199	40	17	6	Privat
Castro de la Peña	8013706	20	13	0	Privat
Claret	8010501	80	74	1	Privat
Closa	8014097	40	17	5	Privat
Cor de Maria-Sabastida	8008361	40	23	10	Privat
Cultural	8000918	44	42	0	Privat
Cultural	8000864	40	22	13	Privat
Cultural Fluvià	8001030	22	21	0	Privat
Decroly	8004316	25	22	2	Privat
Dominiques de l'Ensenyament de Barcelona	8005436	60	57	0	Privat
El Clot	8009260	75	57	8	Privat
El Petit Santa Maria	8051719	23	22	1	Privat
Escola 9 Graons	8075608	40	37	2	Públic
Escola Àgora	8002770	22	15	6	Públic
Escola Aiguamarina	8002484	22	20	2	Públic
Escola Aldana	8077514	22	20	2	Públic
Escola Alexandre Galí	8037814	42	26	0	Públic
Escola Àngels Garriga	8043784	20	17	1	Públic
Escola Anglesola	8075633	44	44	0	Públic
Escola Antoni Balmanya	8043103	46	43	3	Públic
Escola Antoni Botey	8001509	40	40	0	Públic
Escola Antoni Brusi	8033501	40	19	8	Públic
Escola Antoni Gaudí	8035519	40	38	2	Públic
Escola Arc Iris	8009776	20	20	0	Públic
Escola Artur Martorell	8041571	23	22	0	Públic
Escola Auditori	8076078	40	40	0	Públic
Escola Auró	8052670	44	40	4	Públic
Escola Ausiàs March	8028035	20	16	4	Públic
Escola Ausiàs March	8034862	20	15	2	Públic
Escola Bac de Roda	8002873	40	31	6	Públic
Escola Badalona Port	8068331	23	21	2	Públic
Escola Baixeras	8001595	21	16	4	Públic
Escola Baldiri Reixac	8002174	20	20	0	Públic
Escola Baldiri Reixac	8037887	40	23	13	Públic
Escola Baloo	8043747	21	20	1	Públic
Escola Banús	8033341	20	20	0	Públic
Escola Barcelona	8013408	44	43	1	Públic
Escola Bàrkeno	8003695	20	20	0	Públic
Escola Baró de Viver	8002411	20	9	0	Públic
Escola Barrufet	8043796	44	44	0	Públic
Escola Beethoven	8027973	20	19	1	Públic
Escola Bernat Desclot	8034837	22	14	8	Públic
Escola Bernat Metge	8019149	20	20	0	Públic
Escola Bogatell	8035431	40	25	15	Públic
Escola Brasil	8002915	20	14	6	Públic
Escola Bufalà	8061348	40	33	5	Públic
Escola Busquets i Punset	8019216	40	33	0	Públic
Escola Cal Maiol	8002022	22	21	1	Públic
Escola Calderón de la Barca	8002277	42	35	7	Públic
Escola Can Clos	8001674	20	6	5	Públic
Escola Can Fabra	8070234	44	37	5	Públic
Escola Carlit	8043814	20	17	2	Públic
Escola Cartagena	8075611	40	26	14	Públic
Escola Casas	8009171	23	11	4	Públic
Escola Cascavell	8002991	20	14	1	Públic
Escola Castella	8001832	21	17	3	Públic
Escola Catalònia	8035441	40	38	1	Públic
Escola Catalunya	8034989	40	34	0	Públic
Escola Cavall Bernat	8046293	22	16	6	Públic
Escola Cervantes	8001789	21	20	1	Públic
Escola Charlie Rivel	8036378	22	21	1	Públic
Escola Ciutat Comtal	8002320	20	11	1	Públic
Escola Collaso i Gil	8001819	42	41	1	Públic
Escola Concepción Arenal	8002587	20	19	1	Públic
Escola Congrés-Indians	8066516	42	36	2	Públic
Escola De Bosc de Montjuïc	8003491	20	15	5	Públic
Escola de la Concepció	8001807	20	19	1	Públic
Escola de les Aigües	8039835	42	40	2	Públic
Escola del Mar	8010146	21	20	1	Públic
Escola dels Encants	8066462	40	34	6	Públic
Escola Diputació	8001923	44	44	0	Públic
Escola Doctor Ferran i Clua	8039434	44	43	1	Públic
Escola Dolors Monserdà-Santapau	8001716	40	35	2	Públic
Escola Dovella	8044201	23	21	2	Públic
Escola Drassanes	8001856	42	32	2	Públic
Escola Duran i Bas	8002681	44	37	7	Públic
Escola Eduard Marquina	8002599	20	17	3	Públic
Escola El Carmel	8002745	40	32	3	Públic
Escola El Polvorí	8001650	20	8	2	Públic
Escola El Sagrer	8045057	66	53	13	Públic
Escola El Turó	8002344	42	34	3	Públic
Escola Elisenda de Montcada	8002459	40	18	7	Públic
Escola Els Horts	8039483	20	18	1	Públic
Escola Els Llorers	8001911	44	44	0	Públic
Escola Els Pins	8041911	21	15	6	Públic
Escola Els Porxos	8002630	20	16	3	Públic
Escola Els Xiprers	8042329	20	20	0	Públic
Escola Emili Juncadella	8002290	22	14	6	Públic
Escola Enric Granados	8002952	20	12	4	Públic
Escola Entença	8075207	44	38	6	Públic
Escola Ernest Lluch	8067016	44	37	1	Públic
Escola Estel-Guinardó	8046281	21	18	3	Públic
Escola Eulàlia Bota	8060873	44	41	3	Públic
Escola Feliu i Vegués	8000402	20	20	0	Públic
Escola Ferran de Sagarra	8027456	40	26	11	Públic
Escola Ferran Sunyer	8052669	44	43	1	Públic
Escola Ferrer i Guàrdia	8032634	40	39	1	Públic
Escola Fluvià	8066531	38	37	1	Públic
Escola Folch i Torres	8037899	20	15	4	Públic
Escola Font d'en Fargas	8002721	40	30	10	Públic
Escola Fort Pienc	8052657	40	37	1	Públic
Escola Francesc Macià	8002009	44	18	21	Públic
Escola Fray Luis de León	8032300	40	33	2	Públic
Escola Frederic Mistral	8019241	44	21	6	Públic
Escola Fructuós Gelabert	8063072	40	38	2	Públic
Escola Gayarre	8002071	22	21	1	Públic
Escola Gitanjali	8041581	23	15	7	Públic
Escola Heura	8043966	20	18	2	Públic
Escola Ignasi Iglésias	8010912	44	36	7	Públic
Escola Ítaca	8043255	44	42	2	Públic
Escola Ítaca	8044508	20	20	0	Públic
Escola Jaume I	8002061	66	65	1	Públic
